,Country_x,Code,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy,Type,Indicator,Indicator_Code,GDP_Billions
0,Afghanistan,AFG,9900004,7.13,0.28,35383032,63.763,Low,GDP (current US$),NY.GDP.MKTP.CD,18.35
1,Albania,ALB,5208319,4.45,1.8,2886438,78.194,Low,GDP (current US$),NY.GDP.MKTP.CD,15.15
2,Algeria,DZA,156220560,0.17,3.85,40551392,76.298,Low,GDP (current US$),NY.GDP.MKTP.CD,175
3,Angola,AGO,30566933,3.13,1.06,28842489,59.925,Low,GDP (current US$),NY.GDP.MKTP.CD,101
4,Antigua and Barbuda,ATG,438763,1.51,4.64,94527,76.617,Low,GDP (current US$),NY.GDP.MKTP.CD,1.61
5,Argentina,ARG,200708270,0.16,4.61,43508460,76.221,High,GDP (current US$),NY.GDP.MKTP.CD,518
6,Armenia,ARM,4597845,3.06,1.57,2936143,74.64,Low,GDP (current US$),NY.GDP.MKTP.CD,12.46
7,Aruba,ABW,286871,1.51,2.74,104872,75.868,Low,GDP (current US$),NY.GDP.MKTP.CD,3.2
8,Australia,AUS,414988700,-0.98,17.1,24262712,82.959,High,GDP (current US$),NY.GDP.MKTP.CD,1430
9,Austria,AUT,73764112,1.54,8.43,8747301,81.258,Low,GDP (current US$),NY.GDP.MKTP.CD,455
10,Azerbaijan,AZE,33614235,-0.41,3.45,9736043,72.493,Low,GDP (current US$),NY.GDP.MKTP.CD,47.11
11,Bahamas,BHS,4404247,1.51,11.65,377930,73.329,Low,GDP (current US$),NY.GDP.MKTP.CD,13.02
12,Bahrain,BHR,24458384,2.5,17.15,1425792,76.899,Low,GDP (current US$),NY.GDP.MKTP.CD,37.65
13,Bangladesh,BGD,74476230,4.5,0.47,157977153,71.785,Low,GDP (current US$),NY.GDP.MKTP.CD,274
14,Barbados,BRB,1541447,1.88,5.39,285796,78.888,Low,GDP (current US$),NY.GDP.MKTP.CD,5.09
15,Belarus,BLR,62655669,4.9,6.63,9445643,74.031,Low,GDP (current US$),NY.GDP.MKTP.CD,60.03
16,Belgium,BEL,94722813,1.53,8.34,11354420,81.139,Low,GDP (current US$),NY.GDP.MKTP.CD,543
17,Belize,BLZ,1114105,1.51,3.02,368400,74.219,Low,GDP (current US$),NY.GDP.MKTP.CD,1.92
18,Benin,BEN,6563709,4.13,0.6,10872063,60.885,Low,GDP (current US$),NY.GDP.MKTP.CD,14.25
19,Bermuda,BMU,639352,1.51,10.09,63362,82.163,Low,GDP (current US$),NY.GDP.MKTP.CD,7.22
20,Bhutan,BTN,1682100,6.14,2.28,736708,70.781,Low,GDP (current US$),NY.GDP.MKTP.CD,2.45
21,Bolivia,BOL,19463728,2.03,1.76,11031814,70.626,Low,GDP (current US$),NY.GDP.MKTP.CD,40.29
22,Bosnia and Herzegovina,BIH,25674120,0.86,7.58,3386266,76.998,Low,GDP (current US$),NY.GDP.MKTP.CD,20.18
23,Botswana,BWA,6438429,-3.74,2.98,2159927,68.178,Low,GDP (current US$),NY.GDP.MKTP.CD,18.66
24,Brazil,BRA,462994920,-6.08,2.25,206163053,75.23,High,GDP (current US$),NY.GDP.MKTP.CD,1920
25,British Virgin Islands,VGB,99762,1.51,3.4,29355,78.576,Low,GDP (current US$),NY.GDP.MKTP.CD,
26,Brunei,BRN,7672127,3.54,18.28,419800,75.45,Low,GDP (current US$),NY.GDP.MKTP.CD,13.57
27,Bulgaria,BGR,50872910,-6,7.11,7151953,74.703,Low,GDP (current US$),NY.GDP.MKTP.CD,66.23
28,Burkina Faso,BFA,2352070,3.14,0.13,18646357,60.354,Low,GDP (current US$),NY.GDP.MKTP.CD,16.06
29,Burundi,BDI,1093618,2.81,0.1,10487995,60.528,Low,GDP (current US$),NY.GDP.MKTP.CD,3.04
30,Cambodia,KHM,6496958,7.68,0.41,15766292,68.977,Low,GDP (current US$),NY.GDP.MKTP.CD,1.97
31,Cameroon,CMR,9454331,2.21,0.4,23926551,58.063,Low,GDP (current US$),NY.GDP.MKTP.CD,24.57
32,Canada,CAN,675918610,-1,18.58,36382944,82.117,High,GDP (current US$),NY.GDP.MKTP.CD,38.69
33,Cape Verde,CPV,99687,2.59,0.19,531146,72.347,Low,GDP (current US$),NY.GDP.MKTP.CD,1720
34,Cayman Islands,CYM,406057,1.52,6.49,62569,83.48,Low,GDP (current US$),NY.GDP.MKTP.CD,5.52
35,Central African Republic,CAF,543229,2.57,0.12,4537686,51.593,Low,GDP (current US$),NY.GDP.MKTP.CD,2.22
36,Chad,TCD,1670941,2.14,0.11,14561660,53.438,Low,GDP (current US$),NY.GDP.MKTP.CD,11.24
37,Chile,CHL,81258525,5.33,4.46,18209068,79.779,Low,GDP (current US$),NY.GDP.MKTP.CD,298
38,China,CHN,10432751400,-0.28,7.38,1414049351,76.21,High,GDP (current US$),NY.GDP.MKTP.CD,13900
39,Colombia,COL,77667594,-0.84,1.61,48175052,76.732,Low,GDP (current US$),NY.GDP.MKTP.CD,334
40,Comoros,COM,108422,2.58,0.14,795592,63.7,Low,GDP (current US$),NY.GDP.MKTP.CD,1.18
41,Congo,COG,5212302,1.63,1.05,4980996,63.556,Low,GDP (current US$),NY.GDP.MKTP.CD,13.64
